,Basin,Basin_GLU,Region
1,Pacific_and_Arctic_Coast,PacArctic,USA
2,Saskatchewan_Nelson,NelsonR,USA
3,Fraser,FraserR,USA
4,Mexico_Northwest_Coast,MexCstNW,USA
5,Caribbean,Caribbean,USA
6,Micronesia,Micronesia,USA
7,California_River_Basin,California,USA
8,Upper_Mississippi_Basin,MissppRN,USA
9,Lower_Mississippi_River_Basin,MissppRS,USA
10,Upper_Colorado_River_Basin,UsaColoRN,USA
11,Lower_Colorado_River_Basin,UsaColoRS,USA
12,Great_Basin,GreatBasin,USA
13,Missouri_River_Basin,MissouriR,USA
14,Arkansas_White_Red_Basin,ArkWhtRedR,USA
15,Texas_Gulf_Coast_Basin,TexasCst,USA
16,South_Atlantic_Gulf_Basin,UsaCstSE,USA
17,Great_Lakes_Basin,GreatLakes,USA
18,Ohio_River_Basin,OhioR,USA
19,Pacific_Northwest_Basin,UsaPacNW,USA
20,Tennessee_River_Basin,TennR,USA
21,Rio_Grande_River_Basin,RioGrande,USA
22,New_England_Basin,UsaCstNE,USA
23,Mid_Atlantic_Basin,UsaCstE,USA
24,Hawaii,Hawaii,USA
25,Nile,NileR,Africa_Eastern
26,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,Africa_Eastern
27,Africa_North_Interior,AfrIntN,Africa_Eastern
28,Lake_Chad,LChad,Africa_Eastern
29,Shebelli_Juba,ShebJubR,Africa_Eastern
30,Africa_East_Central_Coast,AfrCstE,Africa_Eastern
31,Madagascar,Madagascar,Africa_Eastern
32,Rift_Valley,RiftValley,Africa_Eastern
33,Congo,CongoR,Africa_Eastern
34,Mediterranean_Sea_East_Coast,MeditE,Africa_Northern
35,Mediterranean_South_Coast,MeditS,Africa_Northern
36,Africa_North_West_Coast,AfrCstNW,Africa_Northern
37,Nile,NileR,Africa_Northern
38,Dead_Sea,DeadSea,Africa_Northern
39,Sinai_Peninsula,SinaiP,Africa_Northern
40,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,Africa_Northern
41,Africa_North_Interior,AfrIntN,Africa_Northern
42,Niger,NigerR,Africa_Northern
43,Lake_Chad,LChad,Africa_Northern
44,Nile,NileR,Africa_Southern
45,Gulf_of_Guinea,GuineaGulf,Africa_Southern
46,Africa_East_Central_Coast,AfrCstE,Africa_Southern
47,Rift_Valley,RiftValley,Africa_Southern
48,Angola_Coast,AngolaCst,Africa_Southern
49,Congo,CongoR,Africa_Southern
50,Zambezi,ZambeziR,Africa_Southern
51,Africa_Indian_Ocean_Coast,AfrCstSE,Africa_Southern
52,Orange,OrangeR,Africa_Southern
53,Namibia_Coast,AfrCstSW,Africa_Southern
54,Africa_South_Interior,AfrIntS,Africa_Southern
55,South_Africa_South_Coast,AfrCstS,Africa_Southern
56,Limpopo,LimpopoR,Africa_Southern
57,Africa_North_West_Coast,AfrCstNW,Africa_Western
58,Nile,NileR,Africa_Western
59,Africa_West_Coast,AfrCstW,Africa_Western
60,Africa_North_Interior,AfrIntN,Africa_Western
61,Niger,NigerR,Africa_Western
62,Lake_Chad,LChad,Africa_Western
63,Senegal,SenegalR,Africa_Western
64,Volta,VoltaR,Africa_Western
65,Gulf_of_Guinea,GuineaGulf,Africa_Western
66,Congo,CongoR,Africa_Western
67,Zambezi,ZambeziR,Africa_Western
68,Java_Timor,JavaTimor,Australia_NZ
69,Australia_North_Coast,AusCstN,Australia_NZ
70,Australia_East_Coast,AusCstE,Australia_NZ
71,Australia_West_Coast,AusCstW,Australia_NZ
72,Australia_Interior,AusInt,Australia_NZ
73,New_Zealand,NewZealand,Australia_NZ
74,Australia_South_Coast,AusCstS,Australia_NZ
75,Murray_Darling,MurrayDrlg,Australia_NZ
76,Tasmania,Tasmania,Australia_NZ
77,Antarctica,Antarctica,Australia_NZ
78,Orinoco,OrinocoR,Brazil
79,Northeast_South_America_South_Atlantic_Coast,SAmerCstNE,Brazil
80,Amazon,AmazonR,Brazil
81,North_Brazil_South_Atlantic_Coast,BrzCstN,Brazil
82,Tocantins,TocantinsR,Brazil
83,East_Brazil_South_Atlantic_Coast,BrzCstE,Brazil
84,Parnaiba,ParnaibaR,Brazil
85,Sao_Francisco,SaoFrancR,Brazil
86,Uruguay_Brazil_South_Atlantic_Coast,BrzCstS,Brazil
87,La_Plata,RioLaPlata,Brazil
88,Northwest_Territories,NWTerr,Canada
89,Pacific_and_Arctic_Coast,PacArctic,Canada
90,Mackenzie,Mackenzie,Canada
91,Hudson_Bay_Coast,HudsonBay,Canada
92,Atlantic_Ocean_Seaboard,CanAtl,Canada
93,Saskatchewan_Nelson,NelsonR,Canada
94,Fraser,FraserR,Canada
95,Churchill,ChurchillR,Canada
96,St_Lawrence,StLwrncR,Canada
97,Missouri_River_Basin,MissouriR,Canada
98,Great_Lakes_Basin,GreatLakes,Canada
99,Pacific_Northwest_Basin,UsaPacNW,Canada
100,New_England_Basin,UsaCstNE,Canada
101,Caribbean,Caribbean,Central America and Caribbean
102,Yucatan_Peninsula,YucatanP,Central America and Caribbean
103,Grijalva_Usumacinta,GrijUsuR,Central America and Caribbean
104,Southern_Central_America,CntAmer,Central America and Caribbean
105,Caribbean_Coast,SAmerCstN,Central America and Caribbean
106,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,Central America and Caribbean
107,Volga,VolgaR,Central Asia
108,Ural,UralR,Central Asia
109,Gobi_Interior,Gobi,Central Asia
110,Amur,AmurR,Central Asia
111,Caspian_Sea_Coast,CaspianNE,Central Asia
112,Black_Sea_North_Coast,BlackSeaN,Central Asia
113,Yenisey,YeniseiR,Central Asia
114,Caspian_Sea_East_Coast,CaspianE,Central Asia
115,Ob,ObR,Central Asia
116,Amu_Darya,AmuDaryaR,Central Asia
117,Lake_Balkash,LBalkash,Central Asia
118,Black_Sea_South_Coast,BlackSeaS,Central Asia
119,Caspian_Sea_South_West_Coast,CaspianSW,Central Asia
120,Syr_Darya,SyrDaryaR,Central Asia
121,Tarim_Interior,Tarim,Central Asia
122,Russia_South_East_Coast,RusCstSE,China
123,Gobi_Interior,Gobi,China
124,Amur,AmurR,China
125,Ob,ObR,China
126,Amu_Darya,AmuDaryaR,China
127,Bo_Hai_Korean_Bay_North_Coast,BoHai,China
128,Lake_Balkash,LBalkash,China
129,Syr_Darya,SyrDaryaR,China
130,Ziya_He_Interior,ZiyaHe,China
131,China_Coast,ChinaCst,China
132,Huang_He,HuangHeR,China
133,Tarim_Interior,Tarim,China
